row_id,_id,actual_price,avg_rating,brand,category,crawled_at,discount,description,images,out_of_stock,product_id,seller,selling_price,sub_category,product_name,url
3818,668b68b8-fe84-5189-aaf0-af524a50c54b,2,3,Crocks Cl,Clothing and Accessories,2/10/2021 20:49,64% off,\N,"'https://rukminim1.flixcart.com/image/128/128/kk2wl8w0/shirt/p/s/v/42-c328-2-42-crocks-club-original-imafzg2bqxayzckg.jpeg?q=70', 'https://rukminim1.flixcart.com/image/128/128/kk2wl8w0/shirt/s/3/4/42-c328-2-42-crocks-club-original-imafzg2bfmdaabny.jpeg?q=70', 'https://rukminim1.flixcart.com/image/128/128/kk2wl8w0/shirt/s/q/9/42-c328-2-42-crocks-club-original-imafzg2btykwz2wr.jpeg?q=70', 'https://rukminim1.flixcart.com/image/128/128/kk2wl8w0/shirt/f/8/o/42-c328-2-42-crocks-club-original-imafzg2bhfbxhkxd.jpeg?q=70', 'https://rukminim1.flixcart.com/image/128/128/kk2wl8w0/shirt/p/l/n/42-c328-2-42-crocks-club-original-imafzg2bk4bjqghb.jpeg?q=70', 'https://rukminim1.flixcart.com/image/128/128/kk2wl8w0/shirt/h/u/c/42-c328-2-42-crocks-club-original-imafzg2bdtq2gfhc.jpeg?q=70', 'https://rukminim1.flixcart.com/image/128/128/kk2wl8w0/shirt/a/8/z/42-c328-2-42-crocks-club-original-imafzg2bzncffuef.jpeg?q=70'",FALSE,4hWtdShnw%3D%3D,crockscl,899,Topwear,Men Regular Fit Solid Casual Shirt,https://www.flipkart.com/crocks-club-men-solid-casual-light-blue-shirt/p/itm266f661fc2eb2?pid=SHTFZGASAH9ZUMWZ&lid=LSTSHTFZGASAH9ZUMWZUHWSZ7&marketplace=FLIPKART&srno=b_2_74&otracker=browse&fm=organic&iid=en_un4FwyCkwGfIg6Uk4KStIwHZqQYOYJCZM0bG%2FrX%2FApZvLgIYCkY7oBay1jMu%2FRLuVuPqJESufpidQ4hWtdShnw%3D%3D&ssid=d9hoohywjk0000001612101185267
17493,ea33a9b3-2a92-513e-943a-5651aca4eb0e,499,2,\N,Clothing and Accessories,2/10/2021 23:25,60% off,Tatto Sleeve Protect From Uv Raditaion And Also Provide Soothing Feeling In Hot Condition,"'https://rukminim1.flixcart.com/image/128/128/arm-warmer/9/a/w/suncool1008-welwear-medium-original-imaehyu6pkvc8m9n.jpeg?q=70', 'https://rukminim1.flixcart.com/image/128/128/arm-warmer/9/a/w/suncool1008-welwear-medium-original-imaehyu6wcrzz3g7.jpeg?q=70', 'https://rukminim1.flixcart.com/image/128/128/arm-warmer/9/a/w/suncool1008-welwear-medium-original-imaehyu6smxvjezp.jpeg?q=70'",FALSE,ARME8P6GFSXGE9AW,NAVKAR CRAFT,199,Winter Wear,Welwear suncool1008 Nylon Arm WarmerÂ Â (Multicolor),https://www.flipkart.com/welwear-suncool1008-nylon-arm-warmer/p/itme8p6gtjdye43t?pid=ARME8P6GFSXGE9AW&lid=LSTARME8P6GFSXGE9AWUG193V&marketplace=FLIPKART&srno=b_1_10&otracker=browse&fm=organic&iid=146227bc-1330-4e9c-aae9-ad73cbf1dda9.ARME8P6GFSXGE9AW.SEARCH&ssid=r82woocc3k0000001612415084067
17534,827b02c6-f964-5e26-b19a-c03b60c627f7,199,3,\N,Clothing and Accessories,2/10/2021 23:26,25% off,Tatto Sleeve Protect From Uv Raditaion And Also Provide Soothing Feeling In Hot Condition,\N,FALSE,ARME8P6GJQ8PZBE6,NAVKAR CRAFT,148,Winter Wear,Welwear suncool1004 Nylon Arm WarmerÂ Â (Multicolor),https://www.flipkart.com/welwear-suncool1004-nylon-arm-warmer/p/itme8p6gjreu52sb?pid=ARME8P6GJQ8PZBE6&lid=LSTARME8P6GJQ8PZBE61DKQX7&marketplace=FLIPKART&srno=b_2_51&otracker=browse&fm=organic&iid=fdf99ea9-9161-4b92-990a-a0c4d93b477d.ARME8P6GJQ8PZBE6.SEARCH&ssid=2ta74xe3eo0000001612414412238
17532,2e4a4dc5-1cdb-5e33-9342-80d8d926782d,299,3.5,\N,Clothing and Accessories,2/10/2021 23:26,33% off,Tatto Sleeve Protect From Uv Raditaion And Also Provide Soothing Feeling In Hot Condition,"'https://rukminim1.flixcart.com/image/128/128/arm-warmer/r/j/z/suncool1010-welwear-medium-original-imaehyuacrdcafv9.jpeg?q=70', 'https://rukminim1.flixcart.com/image/128/128/arm-warmer/r/j/z/suncool1010-welwear-medium-original-imaehyuatph5uuuh.jpeg?q=70', 'https://rukminim1.flixcart.com/image/128/128/arm-warmer/r/j/z/suncool1010-welwear-medium-original-imaehyu8j9bnx5uz.jpeg?q=70'",FALSE,ARME8P6GXFED7RJZ,NAVKAR CRAFT,198,Winter Wear,Welwear suncool1010 Nylon Arm WarmerÂ Â (Multicolor),https://www.flipkart.com/welwear-suncool1010-nylon-arm-warmer/p/itme8p6gbzhcjxu7?pid=ARME8P6GXFED7RJZ&lid=LSTARME8P6GXFED7RJZYB6DF7&marketplace=FLIPKART&srno=b_2_49&otracker=browse&fm=organic&iid=fdf99ea9-9161-4b92-990a-a0c4d93b477d.ARME8P6GXFED7RJZ.SEARCH&ssid=2ta74xe3eo0000001612414412238
17487,2e001388-8ce1-50db-9d76-d359952cf5c0,299,4,\N,Clothing and Accessories,2/10/2021 23:25,50% off,Tatto Sleeve Protect From Uv Raditaion And Also Provide Soothing Feeling In Hot Condition,"'https://rukminim1.flixcart.com/image/128/128/arm-warmer/u/p/x/suncool1009-welwear-medium-original-imaehyu8z7ghhkfy.jpeg?q=70', 'https://rukminim1.flixcart.com/image/128/128/arm-warmer/r/j/z/suncool1010-welwear-medium-original-imaehyu8j9bnx5uz.jpeg?q=70', 'https://rukminim1.flixcart.com/image/128/128/arm-warmer/u/p/x/suncool1009-welwear-medium-original-imaehyu8agvndpdg.jpeg?q=70'",FALSE,ARME8P6GZGFHAUPX,NAVKAR CRAFT,148,Winter Wear,Welwear suncool1009 Nylon Arm WarmerÂ Â (Multicolor),https://www.flipkart.com/welwear-suncool1009-nylon-arm-warmer/p/itme8p6ggvmxkpp7?pid=ARME8P6GZGFHAUPX&lid=LSTARME8P6GZGFHAUPXTN8FV7&marketplace=FLIPKART&srno=b_1_4&otracker=browse&fm=organic&iid=146227bc-1330-4e9c-aae9-ad73cbf1dda9.ARME8P6GZGFHAUPX.SEARCH&ssid=r82woocc3k0000001612415084067
9906,c89e4430-7119-574d-971f-978560100f48,799,3.5,ProUrb,Clothing and Accessories,2/10/2021 22:01,67% off,\N,\N,FALSE,BDAFSFMYKJDGSXUG,PROURBAN,259,Clothing Accessories,"Women, Boys & Girls, Men, Men & Women, Girls Floral Print BandanaÂ Â (Pack of 6)",https://www.flipkart.com/prourban-women-boys-girls-men-men-girls-floral-print-bandana/p/itm2830753446676?pid=BDAFSFMYKJDGSXUG&lid=LSTBDAFSFMYKJDGSXUGKZUNDX&marketplace=FLIPKART&srno=b_1_1&otracker=browse&fm=organic&iid=9336e516-4d16-44a8-b3c6-75321acb3774.BDAFSFMYKJDGSXUG.SEARCH&ssid=ryke1bqn3k0000001612411787598
9908,edb7da1a-d2d3-58c6-be85-b2aff92d8948,599,3.3,ProUrb,Clothing and Accessories,2/10/2021 22:01,58% off,\N,\N,FALSE,BDAFT7NGPTHYGVRJ,PROURBAN,247,Clothing Accessories,"Women, Men Printed BandanaÂ Â (Pack of 6)",https://www.flipkart.com/prourban-women-men-printed-bandana/p/itm92c19f164a298?pid=BDAFT7NGPTHYGVRJ&lid=LSTBDAFT7NGPTHYGVRJAQZ4D6&marketplace=FLIPKART&srno=b_1_3&otracker=browse&fm=organic&iid=9336e516-4d16-44a8-b3c6-75321acb3774.BDAFT7NGPTHYGVRJ.SEARCH&ssid=ryke1bqn3k0000001612411787598
11726,925ed7af-e39e-583b-bd2d-b28baaa102a2,699,3.9,Dex,Clothing and Accessories,2/10/2021 22:22,70% off,\N,\N,FALSE,BDAFT8JHVBQ6ZT3F,ROOPRANG.,208,Clothing Accessories,"Women, Boys & Girls, Men, Men & Women, Boys, Girls Graphic Print BandanaÂ Â (Pack of 5)",https://www.flipkart.com/dexus-women-boys-girls-men-men-boys-girls-graphic-print-bandana/p/itmaf9651a0efc3c?pid=BDAFT8JHVBQ6ZT3F&lid=LSTBDAFT8JHVBQ6ZT3FANXAD1&marketplace=FLIPKART&srno=b_1_2&otracker=browse&fm=organic&iid=c0d65bb4-28d7-40a0-bbca-eeafa4b824e5.BDAFT8JHVBQ6ZT3F.SEARCH&ssid=4lbql7lg280000001612103423988
11727,cc47db4c-39db-555a-87dc-38c49e1ab482,1,3.7,Dex,Clothing and Accessories,2/10/2021 22:22,64% off,\N,\N,FALSE,BDAFT8JQFNVHGBVH,Aadikart,448,Clothing Accessories,"Women, Boys & Girls, Men, Men & Women, Boys, Girls Graphic Print BandanaÂ Â (Pack of 12)",https://www.flipkart.com/dexus-women-boys-girls-men-men-boys-girls-graphic-print-bandana/p/itmd3a0b4e8f2ff8?pid=BDAFT8JQFNVHGBVH&lid=LSTBDAFT8JQFNVHGBVHAWVU8D&marketplace=FLIPKART&srno=b_1_3&otracker=browse&fm=organic&iid=c0d65bb4-28d7-40a0-bbca-eeafa4b824e5.BDAFT8JQFNVHGBVH.SEARCH&ssid=4lbql7lg280000001612103423988
21741,c1d77b00-ebe0-5c1e-bf24-b4465aecb67f,199,2.4,T10 Spor,Clothing and Accessories,2/11/2021 0:08,50% off,\N,"'https://rukminim1.flixcart.com/image/128/128/kdga1zk0/bandana/r/n/c/72-free-kxip-bandana-ed-2020-t10-sports-840-original-imafuc8hh8nh7fnh.jpeg?q=70', 'https://rukminim1.flixcart.com/image/128/128/kdga1zk0/bandana/r/n/c/72-free-kxip-bandana-ed-2020-t10-sports-840-original-imafuc8hfgrywpyx.jpeg?q=70'",FALSE,BDAFUBD2EJHFCRNC,T10Sports,99,Clothing Accessories,Men Printed Bandana,https://www.flipkart.com/t10-sports-men-printed-bandana/p/itm2f0bb59049575?pid=BDAFUBD2EJHFCRNC&lid=LSTBDAFUBD2EJHFCRNCZGDW0C&marketplace=FLIPKART&srno=b_7_260&otracker=browse&fm=organic&iid=2aa62d8d-012f-4fb8-a38e-60dc08a53b2c.BDAFUBD2EJHFCRNC.SEARCH&ssid=p7yfb40er40000001612411892898
28108,aba448a4-b3d5-596e-b36a-d3ef89160065,399,4.2,Boan Boan,Clothing and Accessories,2/11/2021 1:13,50% off,\N,"'https://rukminim1.flixcart.com/image/128/128/kiow6fk0-0/bandana/k/z/3/60-free-men-women-boys-girls-unisex-printed-bandana-boan-boan-c-original-imafyfg3jcjutejz.jpeg?q=70', 'https://rukminim1.flixcart.com/image/128/128/kiow6fk0-0/bandana/9/6/u/60-free-men-women-boys-girls-unisex-printed-bandana-boan-boan-c-original-imafyfg3ufyeqcgk.jpeg?q=70', 'https://rukminim1.flixcart.com/image/128/128/kiow6fk0-0/bandana/x/y/b/60-free-men-women-boys-girls-unisex-printed-bandana-boan-boan-c-original-imafyfg3rvexwdqm.jpeg?q=70'",FALSE,BDAFYFG57ZSNZNNG,Caandy Trading Company,198,Clothing Accessories,"Men, Men & Women, Women, Girls, Boys Printed Bandana",https://www.flipkart.com/boan-c-men-men-women-girls-boys-printed-bandana/p/itm380245eef0217?pid=BDAFYFG57ZSNZNNG&lid=LSTBDAFYFG57ZSNZNNG1O81PT&marketplace=FLIPKART&srno=b_1_2&otracker=browse&fm=organic&iid=8b23c81f-3009-495c-8ce9-7ddc34342d09.BDAFYFG57ZSNZNNG.SEARCH&ssid=mzrdohrgds0000001612098688985
28118,4bef45a1-e7e2-592d-90a6-69387c39ce80,399,3.3,Boan Boan,Clothing and Accessories,2/11/2021 1:13,62% off,\N,\N,FALSE,BDAFYGRSSHGHBBYE,Caandy Trading Company,149,Clothing Accessories,"Men & Women, Men, Boys, Women, Girls, Boys & Girls Solid Bandana",https://www.flipkart.com/boan-c-men-women-men-boys-girls-boys-girls-solid-bandana/p/itmb82316acc2826?pid=BDAFYGRSSHGHBBYE&lid=LSTBDAFYGRSSHGHBBYES5SLPW&marketplace=FLIPKART&srno=b_1_12&otracker=browse&fm=organic&iid=8b23c81f-3009-495c-8ce9-7ddc34342d09.BDAFYGRSSHGHBBYE.SEARCH&ssid=mzrdohrgds0000001612098688985
28115,a6d647dd-e7ca-544f-89b4-d675b138547e,799,3.3,Boan Boan,Clothing and Accessories,2/11/2021 1:13,62% off,\N,"'https://rukminim1.flixcart.com/image/128/128/khnqqa80-0/bandana/b/b/m/na-free-digitalshopee-bandana-digital-shopee-na-original-imafxm9sthpgt7eb.jpeg?q=70', 'https://rukminim1.flixcart.com/image/128/128/kit6hzk0-0/bandana/n/7/t/60-free-men-women-boys-girls-unisex-solid-black-bandana-boan-original-imafygrp9eyp2nyh.jpeg?q=70'",FALSE,BDAFYM24XGYVTCPB,Caandy Trading Company,299,Clothing Accessories,"Men & Women, Men, Boys, Women, Boys & Girls, Girls Printed BandanaÂ Â (Pack of 5)",https://www.flipkart.com/boan-c-men-women-men-boys-boys-girls-girls-printed-bandana/p/itm179f5e21a5810?pid=BDAFYM24XGYVTCPB&lid=LSTBDAFYM24XGYVTCPBL9BSWY&marketplace=FLIPKART&srno=b_1_9&otracker=browse&fm=organic&iid=8b23c81f-3009-495c-8ce9-7ddc34342d09.BDAFYM24XGYVTCPB.SEARCH&ssid=mzrdohrgds0000001612098688985
28121,65f4f086-39f3-5471-bd44-b6268acdd0a1,399,3.3,Boan Boan,Clothing and Accessories,2/11/2021 1:13,65% off,\N,"'https://rukminim1.flixcart.com/image/128/128/kixgtjk0-0/bandana/t/q/i/60-free-men-women-boys-girls-unisex-printed-bandana-boan-boan-c-original-imafymygybpkguzb.jpeg?q=70', 'https://rukminim1.flixcart.com/image/128/128/kit6hzk0-0/bandana/n/7/t/60-free-men-women-boys-girls-unisex-solid-black-bandana-boan-original-imafygrp9eyp2nyh.jpeg?q=70'",FALSE,BDAFYMYGEAK4CJKV,Caandy Trading Company,138,Clothing Accessories,"Men & Women, Men, Boys, Women, Boys & Girls, Girls Printed Bandana",https://www.flipkart.com/boan-c-men-women-men-boys-boys-girls-girls-printed-bandana/p/itm277caec4c6df6?pid=BDAFYMYGEAK4CJKV&lid=LSTBDAFYMYGEAK4CJKVY58TSG&marketplace=FLIPKART&srno=b_1_16&otracker=browse&fm=organic&iid=8b23c81f-3009-495c-8ce9-7ddc34342d09.BDAFYMYGEAK4CJKV.SEARCH&ssid=mzrdohrgds0000001612098688985
28116,92efc4bf-4457-5f7a-9606-28def8070566,699,3.3,Boan Boan,Clothing and Accessories,2/11/2021 1:13,64% off,\N,"'https://rukminim1.flixcart.com/image/128/128/kixgtjk0-0/bandana/7/r/w/60-free-men-women-boys-girls-unisex-bandana-boan-boan-c-600-original-imafym22enszg6zu.jpeg?q=70', 'https://rukminim1.flixcart.com/image/128/128/kit6hzk0-0/bandana/n/7/t/60-free-men-women-boys-girls-unisex-solid-black-bandana-boan-original-imafygrp9eyp2nyh.jpeg?q=70'",FALSE,BDAFYMZXA7JSHRHZ,Caandy Trading Company,249,Clothing Accessories,"Men & Women, Men, Boys, Women, Boys & Girls, Girls Printed BandanaÂ Â (Pack of 4)",https://www.flipkart.com/boan-c-men-women-men-boys-boys-girls-girls-printed-bandana/p/itm74f0cdc15e30d?pid=BDAFYMZXA7JSHRHZ&lid=LSTBDAFYMZXA7JSHRHZFVVBIT&marketplace=FLIPKART&srno=b_1_10&otracker=browse&fm=organic&iid=8b23c81f-3009-495c-8ce9-7ddc34342d09.BDAFYMZXA7JSHRHZ.SEARCH&ssid=mzrdohrgds0000001612098688985
28109,ab6b7daa-1b05-5a01-b8ab-1f6855415010,399,3.3,Boan Boan,Clothing and Accessories,2/11/2021 1:13,50% off,\N,"'https://rukminim1.flixcart.com/image/128/128/kixgtjk0-0/bandana/i/r/t/60-free-men-women-boys-girls-unisex-bandana-boan-boan-c-600-original-imafymfq6zrbe3uf.jpeg?q=70', 'https://rukminim1.flixcart.com/image/128/128/kit6hzk0-0/bandana/n/7/t/60-free-men-women-boys-girls-unisex-solid-black-bandana-boan-original-imafygrp9eyp2nyh.jpeg?q=70'",FALSE,BDAFYN36CC3QPBTB,Caandy Trading Company,199,Clothing Accessories,"Men & Women, Men, Boys, Women, Boys & Girls, Girls Printed BandanaÂ Â (Pack of 2)",https://www.flipkart.com/boan-c-men-women-men-boys-boys-girls-girls-printed-bandana/p/itm4ae82093cc660?pid=BDAFYN36CC3QPBTB&lid=LSTBDAFYN36CC3QPBTBGHUFII&marketplace=FLIPKART&srno=b_1_3&otracker=browse&fm=organic&iid=8b23c81f-3009-495c-8ce9-7ddc34342d09.BDAFYN36CC3QPBTB.SEARCH&ssid=mzrdohrgds0000001612098688985
