row_id,_id,actual_price,average_rating,brand,category,crawled_at,discount,description,images,out_of_stock,pid,product_details,seller,selling_price,sub_category,title,url
0,fa8e22d6-c0b6-5229-bb9e-ad52eda39a0a,"2,999",3.9,York,Clothing and Accessories,"02/10/2021, 20:11:51",69% off,"Yorker trackpants made from 100% rich combed cotton giving it a rich look.Designed for Comfort,Skin friendly fabric,itch-free waistband & great for all year round use Proudly made in India","['https://rukminim1.flixcart.com/image/128/128/jr3t5e80/track-pant/z/y/n/m-1005combo2-yorker-original-imafczg3xfh5qqd4.jpeg?q=70', 'https://rukminim1.flixcart.com/image/128/128/jr58l8w0/track-pant/w/d/a/l-1005combo8-yorker-original-imafczg3pgtxgraq.jpeg?q=70']",FALSE,TKPFCZ9EA7H5FYZH,"[{'Style Code': '1005COMBO2'}, {'Closure': 'Elastic'}, {'Pockets': 'Side Pockets'}, {'Fabric': 'Cotton Blend'}, {'Pattern': 'Solid'}, {'Color': 'Multicolor'}]",Shyam Enterprises,921,Bottomwear,Solid Men Multicolor Track Pants,https://www.flipkart.com/yorker-solid-men-multicolor-track-pants/p/itmd2c76aadce459?pid=TKPFCZ9EA7H5FYZH&lid=LSTTKPFCZ9EA7H5FYZHVYXWP0&marketplace=FLIPKART&srno=b_1_1&otracker=browse&fm=organic&iid=177a46eb-d053-4732-b3de-fcad6ff59cbd.TKPFCZ9EA7H5FYZH.SEARCH&ssid=utkd4t3gb40000001612415717799
1,893e6980-f2a0-531f-b056-34dd63fe912c,"1,499",3.9,York,Clothing and Accessories,"02/10/2021, 20:11:52",66% off,"Yorker trackpants made from 100% rich combed cotton giving it a rich look.Designed for Comfort,Skin friendly fabric,itch-free waistband & great for all year round use Proudly made in India","['https://rukminim1.flixcart.com/image/128/128/kfyasnk0/track-pant/g/5/y/s-19876-yorker-original-imafwamyzrwjynkf.jpeg?q=70', 'https://rukminim1.flixcart.com/image/128/128/kfyasnk0/track-pant/g/5/y/s-19876-yorker-original-imafwamynyeuu5zq.jpeg?q=70']",FALSE,TKPFCZ9EJZV2UVRZ,"[{'Style Code': '1005BLUE'}, {'Closure': 'Drawstring, Elastic'}, {'Pockets': 'Side Pockets'}, {'Fabric': 'Cotton Blend'}, {'Pattern': 'Solid'}, {'Color': 'Blue'}]",Shyam Enterprises,499,Bottomwear,Solid Men Blue Track Pants,https://www.flipkart.com/yorker-solid-men-blue-track-pants/p/itmfczez7v6rzwer?pid=TKPFCZ9EJZV2UVRZ&lid=LSTTKPFCZ9EJZV2UVRZ9HEITU&marketplace=FLIPKART&srno=b_1_2&otracker=browse&fm=organic&iid=177a46eb-d053-4732-b3de-fcad6ff59cbd.TKPFCZ9EJZV2UVRZ.SEARCH&ssid=utkd4t3gb40000001612415717799
2,eb4c8eab-8206-59d0-bcd1-a724d96bf74f,"2,999",3.9,York,Clothing and Accessories,"02/10/2021, 20:11:52",68% off,"Yorker trackpants made from 100% rich combed cotton giving it a rich look.Designed for Comfort,Skin friendly fabric,itch-free waistband & great for all year round use Proudly made in India","['https://rukminim1.flixcart.com/image/128/128/jr3t5e80/track-pant/e/c/s/xl-1005combo4-yorker-original-imafczgcc8t8uppk.jpeg?q=70', 'https://rukminim1.flixcart.com/image/128/128/jr58l8w0/track-pant/f/s/v/m-1005combo9-yorker-original-imafczez7buydy6r.jpeg?q=70']",FALSE,TKPFCZ9EHFCY5Z4Y,"[{'Style Code': '1005COMBO4'}, {'Closure': 'Elastic'}, {'Pockets': 'Side Pockets'}, {'Fabric': 'Cotton Blend'}, {'Pattern': 'Solid'}, {'Color': 'Multicolor'}]",Shyam Enterprises,931,Bottomwear,Solid Men Multicolor Track Pants,https://www.flipkart.com/yorker-solid-men-multicolor-track-pants/p/itm1eee3ca648155?pid=TKPFCZ9EHFCY5Z4Y&lid=LSTTKPFCZ9EHFCY5Z4YDOVNQS&marketplace=FLIPKART&srno=b_1_3&otracker=browse&fm=organic&iid=177a46eb-d053-4732-b3de-fcad6ff59cbd.TKPFCZ9EHFCY5Z4Y.SEARCH&ssid=utkd4t3gb40000001612415717799
3,3f3f97bb-5faf-57df-a9ff-1af24e2b1045,"2,999",3.9,York,Clothing and Accessories,"02/10/2021, 20:11:53",69% off,"Yorker trackpants made from 100% rich combed cotton giving it a rich look.Designed for Comfort,Skin friendly fabric,itch-free waistband & great for all year round use Proudly made in India","['https://rukminim1.flixcart.com/image/128/128/jr3t5e80/track-pant/w/e/f/xl-1005combo3-yorker-original-imafczezgq8ntn7c.jpeg?q=70', 'https://rukminim1.flixcart.com/image/128/128/jr3t5e80/track-pant/8/n/h/xxl-1005dskin-yorker-original-imafczezeauspu2a.jpeg?q=70']",FALSE,TKPFCZ9ESZZ7YWEF,"[{'Style Code': '1005COMBO3'}, {'Closure': 'Elastic'}, {'Pockets': 'Side Pockets'}, {'Fabric': 'Cotton Blend'}, {'Pattern': 'Solid'}, {'Color': 'Multicolor'}]",Shyam Enterprises,911,Bottomwear,Solid Men Multicolor Track Pants,https://www.flipkart.com/yorker-solid-men-multicolor-track-pants/p/itma2f9bfe7dafb7?pid=TKPFCZ9ESZZ7YWEF&lid=LSTTKPFCZ9ESZZ7YWEFAZ1PUK&marketplace=FLIPKART&srno=b_1_4&otracker=browse&fm=organic&iid=177a46eb-d053-4732-b3de-fcad6ff59cbd.TKPFCZ9ESZZ7YWEF.SEARCH&ssid=utkd4t3gb40000001612415717799
4,750caa3d-6264-53ca-8ce1-94118a1d8951,"2,999",3.9,York,Clothing and Accessories,"02/10/2021, 20:11:53",68% off,"Yorker trackpants made from 100% rich combed cotton giving it a rich look.Designed for Comfort,Skin friendly fabric,itch-free waistband & great for all year round use Proudly made in India","['https://rukminim1.flixcart.com/image/128/128/jr3t5e80/track-pant/d/w/b/l-1005combo1-yorker-original-imafczg3zcuajpgb.jpeg?q=70', 'https://rukminim1.flixcart.com/image/128/128/jr58l8w0/track-pant/d/w/b/l-1005combo1-yorker-original-imafczg3yyz6zgab.jpeg?q=70']",FALSE,TKPFCZ9EVXKBSUD7,"[{'Style Code': '1005COMBO1'}, {'Closure': 'Drawstring, Elastic'}, {'Pockets': 'Side Pockets'}, {'Fabric': 'Cotton Blend'}, {'Pattern': 'Solid'}, {'Color': 'Brown, Grey'}]",Shyam Enterprises,943,Bottomwear,"Solid Men Brown, Grey Track Pants",https://www.flipkart.com/yorker-solid-men-brown-grey-track-pants/p/itm1a8387617b373?pid=TKPFCZ9EVXKBSUD7&lid=LSTTKPFCZ9EVXKBSUD7O1SCSG&marketplace=FLIPKART&srno=b_1_5&otracker=browse&fm=organic&iid=177a46eb-d053-4732-b3de-fcad6ff59cbd.TKPFCZ9EVXKBSUD7.SEARCH&ssid=utkd4t3gb40000001612415717799
5,9af4ac75-230b-5d51-8bbf-2ffb19aaa763,"4,499",3.8,York,Clothing and Accessories,"02/10/2021, 20:11:54",74% off,"Yorker trackpants made from 100% rich combed cotton giving it a rich look.Designed for Comfort,Skin friendly fabric,itch-free waistband & great for all year round use Proudly made in India","['https://rukminim1.flixcart.com/image/128/128/jr3t5e80/track-pant/w/d/a/m-1005combo8-yorker-original-imafczgcj7fh2rcx.jpeg?q=70', 'https://rukminim1.flixcart.com/image/128/128/jr58l8w0/track-pant/w/d/a/l-1005combo8-yorker-original-imafczg3pgtxgraq.jpeg?q=70']",FALSE,TKPFCZ9EFK9DNWDA,"[{'Style Code': '1005COMBO12'}, {'Closure': 'Elastic'}, {'Pockets': 'Side Pockets'}, {'Fabric': 'Cotton Blend'}, {'Pattern': 'Solid'}, {'Color': 'Multicolor'}]",Shyam Enterprises,"1,169",Bottomwear,Solid Men Multicolor Track Pants,https://www.flipkart.com/yorker-solid-men-multicolor-track-pants/p/itmd12f548703177?pid=TKPFCZ9EFK9DNWDA&lid=LSTTKPFCZ9EFK9DNWDAUSCZVB&marketplace=FLIPKART&srno=b_1_6&otracker=browse&fm=organic&iid=177a46eb-d053-4732-b3de-fcad6ff59cbd.TKPFCZ9EFK9DNWDA.SEARCH&ssid=utkd4t3gb40000001612415717799
6,1b1d40cc-4eaa-54cf-8938-e59ecae5f19e,"1,499",3.8,York,Clothing and Accessories,"02/10/2021, 20:11:54",68% off,"Yorker trackpants made from 100% rich combed cotton giving it a rich look.Designed for Comfort,Skin friendly fabric,itch-free waistband & great for all year round use Proudly made in India","['https://rukminim1.flixcart.com/image/128/128/jrjizrk0/track-pant/f/h/e/xl-1005navi-yorker-original-imafdb9hfsrefkyd.jpeg?q=70', 'https://rukminim1.flixcart.com/image/128/128/jrjizrk0/track-pant/f/h/e/l-1005navi-yorker-original-imafczg3qwg7xhze.jpeg?q=70']",FALSE,TKPFDABN3GXYPFHE,"[{'Style Code': '1005NAVI'}, {'Closure': 'Elastic'}, {'Pockets': 'Side Pockets'}, {'Fabric': 'Cotton Blend'}, {'Pattern': 'Solid'}, {'Color': 'Dark Blue'}]",Shyam Enterprises,466,Bottomwear,Solid Men Dark Blue Track Pants,https://www.flipkart.com/yorker-solid-men-dark-blue-track-pants/p/itm3379005c3af06?pid=TKPFDABN3GXYPFHE&lid=LSTTKPFDABN3GXYPFHEUSICVD&marketplace=FLIPKART&srno=b_1_7&otracker=browse&fm=organic&iid=177a46eb-d053-4732-b3de-fcad6ff59cbd.TKPFDABN3GXYPFHE.SEARCH&ssid=utkd4t3gb40000001612415717799
7,a33cf2e2-c5e4-5f06-b3aa-8f46a6fd1aef,"1,499",3.8,York,Clothing and Accessories,"02/10/2021, 20:11:55",63% off,"Yorker trackpants made from 100% rich combed cotton giving it a rich look.Designed for Comfort,Skin friendly fabric,itch-free waistband & great for all year round use Proudly made in India","['https://rukminim1.flixcart.com/image/128/128/jr3t5e80/track-pant/8/n/h/xxl-1005dskin-yorker-original-imafczgcbc84trwn.jpeg?q=70', 'https://rukminim1.flixcart.com/image/128/128/jr3t5e80/track-pant/8/n/h/xxl-1005dskin-yorker-original-imafczezeauspu2a.jpeg?q=70']",FALSE,TKPFCZ9ESGZYT8NH,"[{'Style Code': '1005DSKIN'}, {'Closure': 'Elastic'}, {'Pockets': 'Side Pockets'}, {'Fabric': 'Cotton Blend'}, {'Pattern': 'Solid'}, {'Color': 'Beige'}]",Shyam Enterprises,545,Bottomwear,Solid Men Beige Track Pants,https://www.flipkart.com/yorker-solid-men-beige-track-pants/p/itm6fff81aa14a9a?pid=TKPFCZ9ESGZYT8NH&lid=LSTTKPFCZ9ESGZYT8NHBL36LH&marketplace=FLIPKART&srno=b_1_8&otracker=browse&fm=organic&iid=177a46eb-d053-4732-b3de-fcad6ff59cbd.TKPFCZ9ESGZYT8NH.SEARCH&ssid=utkd4t3gb40000001612415717799
8,ab4f0cca-6a84-51e1-b7e8-523724db8728,"1,499",3.8,York,Clothing and Accessories,"02/10/2021, 20:11:55",67% off,"Yorker trackpants made from 100% rich combed cotton giving it a rich look.Designed for Comfort,Skin friendly fabric,itch-free waistband & great for all year round use Proudly made in India","['https://rukminim1.flixcart.com/image/128/128/jr58l8w0/track-pant/f/x/s/m-1005black-yorker-original-imafczg3jzvrxje2.jpeg?q=70', 'https://rukminim1.flixcart.com/image/128/128/jr3t5e80/track-pant/f/x/s/s-1005black-yorker-original-imafczg3fgz3xhct.jpeg?q=70']",FALSE,TKPFCZ9DYU33FFXS,"[{'Style Code': '1005BLACK'}, {'Closure': 'Drawstring, Elastic'}, {'Pockets': 'Side Pockets'}, {'Fabric': 'Cotton Blend'}, {'Pattern': 'Solid'}, {'Color': 'Black'}]",Shyam Enterprises,489,Bottomwear,Solid Men Black Track Pants,https://www.flipkart.com/yorker-solid-men-black-track-pants/p/itmfczg3ybt2wz5v?pid=TKPFCZ9DYU33FFXS&lid=LSTTKPFCZ9DYU33FFXSOVF3IQ&marketplace=FLIPKART&srno=b_1_9&otracker=browse&fm=organic&iid=177a46eb-d053-4732-b3de-fcad6ff59cbd.TKPFCZ9DYU33FFXS.SEARCH&ssid=utkd4t3gb40000001612415717799
9,f8a91e89-c5db-5fa5-9428-1f580a72d05e,"1,499",3.7,York,Clothing and Accessories,"02/10/2021, 20:11:56",64% off,"Yorker trackpants made from 100% rich combed cotton giving it a rich look.Designed for Comfort,Skin friendly fabric,itch-free waistband & great for all year round use Proudly made in India","['https://rukminim1.flixcart.com/image/128/128/kihqz680-0/track-pant/c/h/b/xl-ep-tp1005-epoxy-original-imafdbjfg3f9hwtv.jpeg?q=70', 'https://rukminim1.flixcart.com/image/128/128/kihqz680-0/track-pant/n/p/7/xl-ep-tp1005-epoxy-original-imafczg3jhusmjx6.jpeg?q=70']",FALSE,TKPFDABN4NQFVKZY,"[{'Style Code': '1005MLGREY'}, {'Closure': 'Elastic'}, {'Pockets': 'Side Pockets'}, {'Fabric': 'Cotton Blend'}, {'Pattern': 'Solid'}, {'Color': 'Grey'}]",Shyam Enterprises,531,Bottomwear,Solid Men Grey Track Pants,https://www.flipkart.com/yorker-solid-men-grey-track-pants/p/itm68f2a4557acfa?pid=TKPFDABN4NQFVKZY&lid=LSTTKPFDABN4NQFVKZYOLSGIO&marketplace=FLIPKART&srno=b_1_10&otracker=browse&fm=organic&iid=177a46eb-d053-4732-b3de-fcad6ff59cbd.TKPFDABN4NQFVKZY.SEARCH&ssid=utkd4t3gb40000001612415717799
